Skills,Experience,Education,Certifications,Job_Role,Recruiter_Decision,Salary_Expectation,Projects_Count,AI_Score,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelA_Hire_Prob,ModelA_Prediction,ModelA_Pred_Label,ModelA_Rank
"SQL, Java, C++, React",5,M.Tech,Deep Learning Specialization,Software Engineer,Hire,111578,9,100,3,1,3,2,1.0,1,Hire,1
"TensorFlow, Pytorch, NLP, Python",6,PhD,Google ML,AI Researcher,Hire,64338,10,100,4,2,0,4,1.0,1,Hire,1
"Java, C++, SQL",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,82288,0,100,3,1,3,2,1.0,1,Hire,1
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,Hire,99502,8,100,2,2,2,0,1.0,1,Hire,1
"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,Hire,106433,0,80,2,0,2,1,1.0,1,Hire,1
"TensorFlow, Python, Pytorch",8,PhD,,AI Researcher,Hire,75976,1,100,4,3,0,4,1.0,1,Hire,1
"Pytorch, NLP",5,M.Tech,AWS Certified,AI Researcher,Hire,64489,4,90,3,0,0,2,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,72178,3,65,2,2,1,0,1.0,1,Hire,1
"TensorFlow, NLP, Python, Pytorch",4,M.Tech,AWS Certified,AI Researcher,Hire,42305,10,100,3,0,0,2,1.0,1,Hire,1
"TensorFlow, NLP, Python, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,Hire,115539,9,100,3,1,0,2,1.0,1,Hire,1
"Deep Learning, SQL",1,M.Tech,Google ML,Data Scientist,Reject,64383,4,50,3,2,2,2,1.0,1,Hire,1
"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,Hire,104942,5,100,4,0,0,4,1.0,1,Hire,1
"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,80647,8,80,2,1,1,1,1.0,1,Hire,1
"SQL, Java, C++, React",9,M.Tech,,Software Engineer,Hire,76224,5,100,3,3,3,2,1.0,1,Hire,1
"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,102929,10,95,3,0,1,2,1.0,1,Hire,1
"Networking, Cybersecurity",1,PhD,,Cybersecurity Analyst,Hire,100697,9,65,4,3,1,4,1.0,1,Hire,1
"Ethical Hacking, Linux, Networking, Cybersecurity",3,PhD,,Cybersecurity Analyst,Hire,106073,4,70,4,3,1,4,1.0,1,Hire,1
"Linux, Ethical Hacking, Cybersecurity",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,102480,5,100,4,1,1,4,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Linux, Networking",5,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,109004,7,100,2,0,1,1,1.0,1,Hire,1
"Python, NLP, TensorFlow, Pytorch",9,B.Tech,AWS Certified,AI Researcher,Hire,95912,10,100,2,0,0,1,1.0,1,Hire,1
"React, Java",2,MBA,AWS Certified,Software Engineer,Hire,113130,8,80,3,0,3,3,1.0,1,Hire,1
"SQL, Java, React, C++",4,MBA,Deep Learning Specialization,Software Engineer,Hire,101488,5,95,3,1,3,3,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,Hire,63157,4,100,3,0,1,3,1.0,1,Hire,1
"Linux, Networking",0,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,64620,6,50,2,0,1,1,1.0,1,Hire,1
"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,Hire,99288,4,100,2,2,3,1,1.0,1,Hire,1
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,Hire,78601,7,100,2,0,2,1,1.0,1,Hire,1
"Pytorch, TensorFlow, NLP",6,MBA,Deep Learning Specialization,AI Researcher,Hire,88511,4,100,3,1,0,3,1.0,1,Hire,1
"Deep Learning, SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,Hire,75861,1,65,4,2,2,4,1.0,1,Hire,1
"Linux, Networking, Ethical Hacking",3,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,45475,3,70,2,0,1,1,1.0,1,Hire,1
"Python, SQL, Machine Learning",9,MBA,Deep Learning Specialization,Data Scientist,Hire,112067,2,100,3,1,2,3,1.0,1,Hire,1
"Python, SQL, Deep Learning",10,B.Tech,,Data Scientist,Hire,92689,8,100,2,3,2,1,1.0,1,Hire,1
"NLP, Pytorch, Python",8,MBA,,AI Researcher,Hire,75898,3,100,3,3,0,3,1.0,1,Hire,1
"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,Reject,48427,1,45,4,0,1,4,1.0,1,Hire,1
"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,Hire,109019,8,100,3,2,2,2,1.0,1,Hire,1
"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,Hire,99118,1,95,3,2,0,3,1.0,1,Hire,1
"Machine Learning, Deep Learning, Python",7,B.Tech,Deep Learning Specialization,Data Scientist,Hire,99741,0,95,2,1,2,1,1.0,1,Hire,1
"Python, TensorFlow, Pytorch, NLP",5,PhD,Google ML,AI Researcher,Hire,104955,0,80,4,2,0,4,1.0,1,Hire,1
"TensorFlow, NLP, Python",3,PhD,AWS Certified,AI Researcher,Hire,71785,7,90,4,0,0,4,1.0,1,Hire,1
"Networking, Linux, Ethical Hacking, Cybersecurity",3,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,115553,9,100,3,0,1,2,1.0,1,Hire,1
"Cybersecurity, Networking, Linux",2,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,104195,3,60,2,0,1,0,1.0,1,Hire,1
"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,61633,4,100,3,1,1,3,1.0,1,Hire,1
"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,,Data Scientist,Hire,82012,7,75,3,3,2,2,1.0,1,Hire,1
"TensorFlow, Pytorch, Python, NLP",4,MBA,AWS Certified,AI Researcher,Hire,61757,2,80,3,0,0,3,1.0,1,Hire,1
"SQL, React, Java, C++",9,MBA,Google ML,Software Engineer,Hire,95141,7,100,3,2,3,3,1.0,1,Hire,1
"React, Java, SQL, C++",8,B.Sc,AWS Certified,Software Engineer,Hire,73325,2,100,2,0,3,0,1.0,1,Hire,1
"Linux, Cybersecurity, Ethical Hacking",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,71624,8,100,4,1,1,4,1.0,1,Hire,1
"C++, Java, React, SQL",9,MBA,AWS Certified,Software Engineer,Hire,81897,4,100,3,0,3,3,1.0,1,Hire,1
"SQL, Deep Learning",5,B.Sc,Google ML,Data Scientist,Hire,55964,5,95,2,2,2,0,1.0,1,Hire,1
"Networking, Linux",10,PhD,,Cybersecurity Analyst,Hire,82245,2,100,4,3,1,4,1.0,1,Hire,1
"NLP, Python",5,B.Tech,AWS Certified,AI Researcher,Hire,105979,3,85,2,0,0,1,1.0,1,Hire,1
"Cybersecurity, Linux, Networking, Ethical Hacking",0,MBA,,Cybersecurity Analyst,Hire,92175,10,70,3,3,1,3,1.0,1,Hire,1
"TensorFlow, NLP, Python, Pytorch",3,B.Sc,,AI Researcher,Hire,95357,8,90,2,3,0,0,1.0,1,Hire,1
"SQL, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,99679,5,75,2,0,2,1,1.0,1,Hire,1
"Python, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,95919,6,95,3,0,2,3,1.0,1,Hire,1
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,53286,5,100,2,1,2,0,1.0,1,Hire,1
"Java, React, SQL, C++",3,PhD,,Software Engineer,Hire,78794,4,70,4,3,3,4,1.0,1,Hire,1
"Machine Learning, Deep Learning, SQL, Python",2,PhD,AWS Certified,Data Scientist,Hire,80720,6,80,4,0,2,4,1.0,1,Hire,1
"Networking, Linux, Cybersecurity",1,PhD,Google ML,Cybersecurity Analyst,Hire,48456,8,75,4,2,1,4,1.0,1,Hire,1
"Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,Hire,46896,8,100,3,0,1,3,1.0,1,Hire,1
"Machine Learning, Deep Learning, Python",10,M.Tech,Google ML,Data Scientist,Hire,47998,10,100,3,2,2,2,1.0,1,Hire,1
"SQL, Java, C++",1,M.Tech,Deep Learning Specialization,Software Engineer,Hire,82007,10,85,3,1,3,2,1.0,1,Hire,1
"Pytorch, Python, TensorFlow, NLP",9,M.Tech,Google ML,AI Researcher,Hire,47919,4,100,3,2,0,2,1.0,1,Hire,1
"SQL, Machine Learning, Python",3,B.Tech,Google ML,Data Scientist,Hire,77352,3,70,2,2,2,1,1.0,1,Hire,1
"Machine Learning, SQL, Python",3,M.Tech,Google ML,Data Scientist,Hire,119432,9,100,3,2,2,2,1.0,1,Hire,1
"C++, SQL, Java",7,B.Sc,,Software Engineer,Hire,115535,5,100,2,3,3,0,1.0,1,Hire,1
"Deep Learning, Python, SQL, Machine Learning",3,B.Sc,AWS Certified,Data Scientist,Hire,113134,5,85,2,0,2,0,1.0,1,Hire,1
"Networking, Cybersecurity, Ethical Hacking, Linux",4,M.Tech,Google ML,Cybersecurity Analyst,Hire,91996,8,100,3,2,1,2,1.0,1,Hire,1
"SQL, Java, React",4,PhD,AWS Certified,Software Engineer,Hire,79539,5,90,4,0,3,4,1.0,1,Hire,1
"Python, Deep Learning, Machine Learning, SQL",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,42356,3,65,2,1,2,1,1.0,1,Hire,1
"NLP, Python",10,PhD,Google ML,AI Researcher,Hire,100218,10,100,4,2,0,4,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking",2,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,100524,5,65,2,1,1,1,1.0,1,Hire,1
"Pytorch, NLP",4,B.Tech,Google ML,AI Researcher,Hire,52692,10,100,2,2,0,1,1.0,1,Hire,1
"Cybersecurity, Linux, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,81422,10,100,3,1,1,3,1.0,1,Hire,1
"Python, Deep Learning",2,B.Tech,AWS Certified,Data Scientist,Hire,83979,5,65,2,0,2,1,1.0,1,Hire,1
"Linux, Networking, Cybersecurity",6,MBA,,Cybersecurity Analyst,Hire,59504,1,80,3,3,1,3,1.0,1,Hire,1
"Networking, Cybersecurity, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,Hire,113331,8,100,3,2,1,2,1.0,1,Hire,1
"React, C++, Java",10,MBA,Deep Learning Specialization,Software Engineer,Hire,76012,1,100,3,1,3,3,1.0,1,Hire,1
"Linux, Cybersecurity, Ethical Hacking, Networking",2,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,59397,10,100,2,0,1,1,1.0,1,Hire,1
"SQL, React, Java",0,M.Tech,,Software Engineer,Reject,81417,0,15,3,3,3,2,1.0,1,Hire,1
"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848,0,95,2,0,0,1,1.0,1,Hire,1
"Cybersecurity, Networking, Linux, Ethical Hacking",1,B.Sc,,Cybersecurity Analyst,Hire,99954,8,70,2,3,1,0,1.0,1,Hire,1
"Python, NLP, Pytorch, TensorFlow",5,B.Sc,Deep Learning Specialization,AI Researcher,Hire,48234,9,100,2,1,0,0,1.0,1,Hire,1
"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100,2,0,2,1,1.0,1,Hire,1
"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895,8,100,2,3,0,0,1.0,1,Hire,1
"React, Java",4,PhD,Google ML,Software Engineer,Hire,51742,6,90,4,2,3,4,1.0,1,Hire,1
"Networking, Ethical Hacking, Linux, Cybersecurity",3,PhD,Google ML,Cybersecurity Analyst,Hire,115708,9,100,4,2,1,4,1.0,1,Hire,1
"React, C++, Java, SQL",5,M.Tech,Google ML,Software Engineer,Hire,106646,4,100,3,2,3,2,1.0,1,Hire,1
"NLP, TensorFlow, Python",3,M.Tech,,AI Researcher,Hire,66403,10,95,3,3,0,2,1.0,1,Hire,1
"C++, React",10,MBA,AWS Certified,Software Engineer,Hire,101108,9,100,3,0,3,3,1.0,1,Hire,1
"Linux, Cybersecurity",7,PhD,,Cybersecurity Analyst,Hire,106469,0,80,4,3,1,4,1.0,1,Hire,1
"Python, NLP",7,M.Tech,Google ML,AI Researcher,Hire,80936,3,100,3,2,0,2,1.0,1,Hire,1
"React, SQL, Java",6,B.Tech,Deep Learning Specialization,Software Engineer,Hire,115386,4,100,2,1,3,1,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766,7,70,3,1,1,3,1.0,1,Hire,1
"SQL, Machine Learning, Python, Deep Learning",7,M.Tech,Deep Learning Specialization,Data Scientist,Hire,119474,3,100,3,1,2,2,1.0,1,Hire,1
"React, SQL, Java",5,PhD,Google ML,Software Engineer,Hire,102333,10,100,4,2,3,4,1.0,1,Hire,1
"C++, React, Java, SQL",9,M.Tech,,Software Engineer,Hire,99057,8,100,3,3,3,2,1.0,1,Hire,1
"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,Hire,84443,3,100,3,2,2,2,1.0,1,Hire,1
"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,,Data Scientist,Hire,72780,9,100,2,3,2,0,1.0,1,Hire,1
"Python, Pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,71804,10,70,2,1,0,1,1.0,1,Hire,1
"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,Hire,49367,3,75,2,2,3,0,1.0,1,Hire,1
"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,82004,2,100,2,2,2,0,1.0,1,Hire,1
"Python, NLP, TensorFlow, Pytorch",5,PhD,,AI Researcher,Hire,45488,9,100,4,3,0,4,1.0,1,Hire,1
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,72756,4,90,2,0,3,0,1.0,1,Hire,1
"Ethical Hacking, Linux",7,PhD,,Cybersecurity Analyst,Hire,47840,0,80,4,3,1,4,1.0,1,Hire,1
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,115051,2,100,3,1,3,2,1.0,1,Hire,1
"Linux, Ethical Hacking, Cybersecurity, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,61624,1,100,2,0,1,1,1.0,1,Hire,1
"Deep Learning, Machine Learning, SQL",2,PhD,Deep Learning Specialization,Data Scientist,Hire,106032,10,95,4,1,2,4,1.0,1,Hire,1
"C++, React, Java",10,B.Sc,Google ML,Software Engineer,Hire,117566,8,100,2,2,3,0,1.0,1,Hire,1
"Python, Pytorch, NLP",0,PhD,Google ML,AI Researcher,Hire,88256,9,70,4,2,0,4,1.0,1,Hire,1
"SQL, Machine Learning, Deep Learning, Python",3,PhD,,Data Scientist,Hire,104405,9,95,4,3,2,4,1.0,1,Hire,1
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,Hire,115275,5,100,3,0,3,2,1.0,1,Hire,1
"Ethical Hacking, Linux, Cybersecurity",4,MBA,,Cybersecurity Analyst,Hire,52722,9,100,3,3,1,3,1.0,1,Hire,1
"React, C++",9,B.Sc,,Software Engineer,Hire,102113,6,100,2,3,3,0,1.0,1,Hire,1
"Networking, Ethical Hacking, Cybersecurity, Linux",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,73181,5,100,3,1,1,3,1.0,1,Hire,1
"Networking, Ethical Hacking, Linux, Cybersecurity",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,80779,5,100,2,1,1,1,1.0,1,Hire,1
"Java, React, SQL, C++",8,M.Tech,Google ML,Software Engineer,Hire,61601,7,100,3,2,3,2,1.0,1,Hire,1
"Pytorch, TensorFlow",9,PhD,Google ML,AI Researcher,Hire,59856,2,100,4,2,0,4,1.0,1,Hire,1
"Pytorch, TensorFlow, NLP, Python",5,MBA,AWS Certified,AI Researcher,Hire,53097,0,80,3,0,0,3,1.0,1,Hire,1
"SQL, Java",8,B.Tech,AWS Certified,Software Engineer,Hire,83833,8,100,2,0,3,1,1.0,1,Hire,1
"Java, React, C++, SQL",3,B.Sc,Google ML,Software Engineer,Hire,63179,9,100,2,2,3,0,1.0,1,Hire,1
"Pytorch, TensorFlow",8,B.Sc,Deep Learning Specialization,AI Researcher,Hire,73142,9,100,2,1,0,0,1.0,1,Hire,1
"Ethical Hacking, Linux",2,M.Tech,,Cybersecurity Analyst,Hire,115687,7,65,3,3,1,2,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity, Linux, Networking",0,MBA,Google ML,Cybersecurity Analyst,Hire,102527,7,65,3,2,1,3,1.0,1,Hire,1
"Deep Learning, SQL, Python, Machine Learning",8,MBA,AWS Certified,Data Scientist,Hire,100345,0,100,3,0,2,3,1.0,1,Hire,1
"Java, SQL, React, C++",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,69145,4,100,2,1,3,0,1.0,1,Hire,1
"Python, Deep Learning, SQL, Machine Learning",1,B.Tech,AWS Certified,Data Scientist,Hire,61616,9,85,2,0,2,1,1.0,1,Hire,1
"Pytorch, Python",4,B.Sc,AWS Certified,AI Researcher,Hire,72233,9,100,2,0,0,0,1.0,1,Hire,1
"Python, NLP",0,PhD,Deep Learning Specialization,AI Researcher,Hire,81970,10,70,4,1,0,4,1.0,1,Hire,1
"TensorFlow, Python, NLP",10,MBA,,AI Researcher,Hire,95290,0,100,3,3,0,3,1.0,1,Hire,1
"Java, React, SQL",4,PhD,AWS Certified,Software Engineer,Hire,92781,0,65,4,0,3,4,1.0,1,Hire,1
"Java, C++, SQL, React",4,B.Tech,,Software Engineer,Hire,46950,7,95,2,3,3,1,1.0,1,Hire,1
"Deep Learning, Python, Machine Learning",9,MBA,Google ML,Data Scientist,Hire,105724,10,100,3,2,2,3,1.0,1,Hire,1
"Java, React",9,B.Tech,AWS Certified,Software Engineer,Hire,79610,1,100,2,0,3,1,1.0,1,Hire,1
"Python, Deep Learning, Machine Learning, SQL",3,PhD,Google ML,Data Scientist,Hire,77893,10,100,4,2,2,4,1.0,1,Hire,1
"Python, Machine Learning, Deep Learning",0,B.Sc,Deep Learning Specialization,Data Scientist,Hire,97987,10,75,2,1,2,0,1.0,1,Hire,1
"Java, C++, React",7,PhD,,Software Engineer,Hire,100195,6,100,4,3,3,4,1.0,1,Hire,1
"TensorFlow, Pytorch",5,M.Tech,Deep Learning Specialization,AI Researcher,Hire,82093,9,100,3,1,0,2,1.0,1,Hire,1
"SQL, Deep Learning, Machine Learning",6,M.Tech,,Data Scientist,Hire,58016,2,85,3,3,2,2,1.0,1,Hire,1
"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,Hire,59448,9,100,3,2,3,3,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity, Linux",6,MBA,Google ML,Cybersecurity Analyst,Hire,66802,1,90,3,2,1,3,1.0,1,Hire,1
"Python, Machine Learning, Deep Learning",8,B.Sc,Deep Learning Specialization,Data Scientist,Hire,100425,0,100,2,1,2,0,1.0,1,Hire,1
"Networking, Ethical Hacking, Cybersecurity",10,B.Sc,Google ML,Cybersecurity Analyst,Hire,92197,5,100,2,2,1,0,1.0,1,Hire,1
"Pytorch, NLP, Python, TensorFlow",5,B.Tech,,AI Researcher,Hire,56104,6,100,2,3,0,1,1.0,1,Hire,1
"C++, React, Java",9,B.Tech,Deep Learning Specialization,Software Engineer,Hire,76157,8,100,2,1,3,1,1.0,1,Hire,1
"NLP, TensorFlow",8,MBA,,AI Researcher,Hire,64722,1,95,3,3,0,3,1.0,1,Hire,1
"C++, SQL, Java",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,95050,2,100,3,1,3,2,1.0,1,Hire,1
"React, C++",6,B.Tech,Google ML,Software Engineer,Hire,114890,7,100,2,2,3,1,1.0,1,Hire,1
"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,Hire,80736,2,100,2,0,0,1,1.0,1,Hire,1
"NLP, TensorFlow, Pytorch",3,M.Tech,AWS Certified,AI Researcher,Hire,112201,6,85,3,0,0,2,1.0,1,Hire,1
"Pytorch, NLP, Python, TensorFlow",10,M.Tech,AWS Certified,AI Researcher,Hire,77860,1,100,3,0,0,2,1.0,1,Hire,1
"NLP, TensorFlow, Python, Pytorch",9,PhD,AWS Certified,AI Researcher,Hire,112005,10,100,4,0,0,4,1.0,1,Hire,1
"TensorFlow, NLP, Python",4,MBA,AWS Certified,AI Researcher,Hire,72225,6,95,3,0,0,3,1.0,1,Hire,1
"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,68881,8,100,3,1,3,3,1.0,1,Hire,1
"React, Java, SQL",4,MBA,Google ML,Software Engineer,Hire,99599,9,100,3,2,3,3,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,,Cybersecurity Analyst,Hire,53096,7,85,3,3,1,3,1.0,1,Hire,1
"Java, C++, React, SQL",6,B.Tech,Deep Learning Specialization,Software Engineer,Hire,58157,4,100,2,1,3,1,1.0,1,Hire,1
