Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"Ethical Hacking, Networking, Cybersecurity",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,51159,8,100.0,Hire,3,1,1,3,0.9907,1,Hire,45
"Ethical Hacking, Cybersecurity, Networking",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,50972,1,60.9,Hire,2,1,1,0,0.9907,1,Hire,45
"Java, SQL",8,M.Tech,Google ML,Software Engineer,50950,8,96.5,Hire,3,2,3,2,0.9907,1,Hire,45
"Deep Learning, SQL",1,B.Tech,AWS Certified,Data Scientist,50848,4,50.4,Hire,2,0,2,1,0.9907,1,Hire,45
"NLP, TensorFlow, Python, Pytorch",8,MBA,None,AI Researcher,50831,3,100.0,Hire,3,3,0,3,0.9907,1,Hire,45
"Python, Deep Learning, SQL, Machine Learning",9,PhD,None,Data Scientist,45043,5,100.0,Hire,4,3,2,4,0.9902,1,Hire,52
"Networking, Ethical Hacking, Cybersecurity",8,MBA,None,Cybersecurity Analyst,44474,1,84.9,Hire,3,3,1,3,0.9902,1,Hire,52
"Python, TensorFlow, Pytorch, NLP",8,PhD,AWS Certified,AI Researcher,44783,10,100.0,Hire,4,0,0,4,0.9902,1,Hire,52
"NLP, Pytorch, Python",2,B.Sc,AWS Certified,AI Researcher,45134,10,96.8,Hire,2,0,0,0,0.9902,1,Hire,52
"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,113365,8,100.0,Hire,2,2,3,1,0.9896,1,Hire,56
"React, Java",2,MBA,AWS Certified,Software Engineer,113130,8,73.7,Hire,3,0,3,3,0.9896,1,Hire,56
"SQL, Python, Machine Learning, Deep Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,112595,7,97.2,Hire,3,1,2,2,0.9896,1,Hire,56
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,None,Data Scientist,112155,0,69.8,Hire,2,3,2,1,0.9896,1,Hire,56
"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,111697,4,88.8,Hire,2,1,0,0,0.9896,1,Hire,56
"SQL, Python, Deep Learning",3,MBA,None,Data Scientist,112439,10,90.0,Hire,3,3,2,3,0.9896,1,Hire,56
"C++, SQL",8,B.Sc,Google ML,Software Engineer,112514,8,95.9,Hire,2,2,3,0,0.9896,1,Hire,56
"Deep Learning, Python, SQL, Machine Learning",3,B.Sc,AWS Certified,Data Scientist,113134,5,73.9,Hire,2,0,2,0,0.9896,1,Hire,56
"TensorFlow, Python, NLP",6,PhD,Deep Learning Specialization,AI Researcher,112672,2,88.7,Hire,4,1,0,4,0.9896,1,Hire,56
"Java, SQL",3,PhD,Google ML,Software Engineer,112396,10,100.0,Hire,4,2,3,4,0.9896,1,Hire,56
"Python, Machine Learning, Deep Learning, SQL",7,M.Tech,Google ML,Data Scientist,112572,5,100.0,Hire,3,2,2,2,0.9896,1,Hire,56
"NLP, TensorFlow, Pytorch",3,M.Tech,AWS Certified,AI Researcher,112201,6,89.0,Hire,3,0,0,2,0.9896,1,Hire,56
"NLP, TensorFlow, Python, Pytorch",9,PhD,AWS Certified,AI Researcher,112005,10,100.0,Hire,4,0,0,4,0.9896,1,Hire,56
"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,112556,7,59.5,Hire,3,1,2,3,0.9896,1,Hire,56
"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,112663,7,53.1,Hire,2,0,2,1,0.9896,1,Hire,56
"Cybersecurity, Networking, Ethical Hacking",4,MBA,None,Cybersecurity Analyst,112115,9,100.0,Hire,3,3,1,3,0.9896,1,Hire,56
"Networking, Cybersecurity, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,113331,8,100.0,Hire,3,2,1,2,0.9896,1,Hire,56
"Python, SQL, Machine Learning",9,MBA,Deep Learning Specialization,Data Scientist,112067,2,93.3,Hire,3,1,2,3,0.9896,1,Hire,56
"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,112466,9,88.0,Hire,4,1,2,4,0.9896,1,Hire,56
"SQL, Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,113251,8,100.0,Hire,2,1,3,1,0.9896,1,Hire,56
"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,113002,1,100.0,Hire,3,2,2,3,0.9896,1,Hire,56
"SQL, C++, Java",6,B.Sc,None,Software Engineer,113366,4,100.0,Hire,2,3,3,0,0.9896,1,Hire,56
"Pytorch, NLP, Python, TensorFlow",7,M.Tech,AWS Certified,AI Researcher,112353,10,100.0,Hire,3,0,0,2,0.9896,1,Hire,56
"SQL, C++, React",3,B.Tech,None,Software Engineer,112003,7,79.1,Hire,2,3,3,1,0.9896,1,Hire,56
"Deep Learning, SQL, Python",3,B.Sc,AWS Certified,Data Scientist,50781,6,83.8,Hire,2,0,2,0,0.9894,1,Hire,80
"Networking, Cybersecurity",7,PhD,None,Cybersecurity Analyst,50704,0,86.8,Hire,4,3,1,4,0.9894,1,Hire,80
"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,50670,0,100.0,Hire,4,1,0,4,0.9894,1,Hire,80
"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,107085,10,84.6,Hire,4,1,3,4,0.987,1,Hire,83
"React, SQL",4,PhD,None,Software Engineer,108770,10,100.0,Hire,4,3,3,4,0.987,1,Hire,83
"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,110523,4,75.5,Hire,3,0,2,3,0.987,1,Hire,83
"React, C++",7,PhD,None,Software Engineer,107965,10,100.0,Hire,4,3,3,4,0.987,1,Hire,83
"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,None,Cybersecurity Analyst,107237,3,100.0,Hire,3,3,1,3,0.987,1,Hire,83
"Machine Learning, Deep Learning, Python",3,PhD,None,Data Scientist,107521,10,95.2,Hire,4,3,2,4,0.987,1,Hire,83
"Python, Deep Learning",9,B.Tech,AWS Certified,Data Scientist,108567,1,97.6,Hire,2,0,2,1,0.987,1,Hire,83
"Linux, Ethical Hacking, Networking",10,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,108070,1,100.0,Hire,2,1,1,0,0.987,1,Hire,83
"TensorFlow, Python",1,M.Tech,Deep Learning Specialization,AI Researcher,108308,4,57.3,Hire,3,1,0,2,0.987,1,Hire,83
"Pytorch, TensorFlow, Python, NLP",4,M.Tech,Google ML,AI Researcher,109802,3,91.3,Hire,3,2,0,2,0.987,1,Hire,83
"Linux, Cybersecurity, Networking, Ethical Hacking",6,B.Tech,AWS Certified,Cybersecurity Analyst,109463,6,93.7,Hire,2,0,1,1,0.987,1,Hire,83
"Machine Learning, SQL, Python, Deep Learning",2,MBA,Google ML,Data Scientist,108247,6,86.0,Hire,3,2,2,3,0.987,1,Hire,83
"Networking, Linux, Ethical Hacking, Cybersecurity",0,MBA,None,Cybersecurity Analyst,108549,2,29.7,Hire,3,3,1,3,0.987,1,Hire,83
"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,108144,2,63.8,Hire,2,1,1,0,0.987,1,Hire,83
"C++, Java",0,M.Tech,Deep Learning Specialization,Software Engineer,109551,3,26.8,Hire,3,1,3,2,0.987,1,Hire,83
"Pytorch, NLP, Python",10,M.Tech,Deep Learning Specialization,AI Researcher,106554,2,100.0,Hire,3,1,0,2,0.987,1,Hire,83
"Python, Deep Learning, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,110499,9,97.7,Hire,2,1,2,1,0.987,1,Hire,83
"NLP, TensorFlow, Pytorch, Python",0,B.Sc,Google ML,AI Researcher,107278,1,33.4,Hire,2,2,0,0,0.987,1,Hire,83
"Python, SQL, Deep Learning, Machine Learning",10,M.Tech,Deep Learning Specialization,Data Scientist,110158,8,95.8,Hire,3,1,2,2,0.987,1,Hire,83
"Cybersecurity, Ethical Hacking, Networking",6,M.Tech,Google ML,Cybersecurity Analyst,108922,10,98.8,Hire,3,2,1,2,0.987,1,Hire,83
"NLP, Python",9,M.Tech,None,AI Researcher,107875,5,100.0,Hire,3,3,0,2,0.987,1,Hire,83
"Networking, Linux, Ethical Hacking",4,PhD,None,Cybersecurity Analyst,107425,2,64.1,Hire,4,3,1,4,0.987,1,Hire,83
"Networking, Ethical Hacking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,107340,7,89.0,Hire,2,1,1,0,0.987,1,Hire,83
"Linux, Ethical Hacking",4,B.Tech,None,Cybersecurity Analyst,110442,7,89.4,Hire,2,3,1,1,0.987,1,Hire,83
"React, C++, Java, SQL",5,M.Tech,Google ML,Software Engineer,106646,4,98.1,Hire,3,2,3,2,0.987,1,Hire,83
"Cybersecurity, Networking, Linux",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,107124,2,100.0,Hire,4,1,1,4,0.987,1,Hire,83
"Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,108606,3,41.9,Hire,3,0,2,3,0.987,1,Hire,83
"Pytorch, Python, TensorFlow, NLP",5,MBA,Google ML,AI Researcher,109244,5,99.7,Hire,3,2,0,3,0.987,1,Hire,83
"NLP, Pytorch, TensorFlow",9,B.Sc,None,AI Researcher,108379,10,97.5,Hire,2,3,0,0,0.987,1,Hire,83
"NLP, TensorFlow, Pytorch, Python",8,B.Sc,Deep Learning Specialization,AI Researcher,108667,0,98.6,Hire,2,1,0,0,0.987,1,Hire,83
"Cybersecurity, Networking",7,MBA,None,Cybersecurity Analyst,109418,6,100.0,Hire,3,3,1,3,0.987,1,Hire,83
"SQL, Deep Learning, Python, Machine Learning",6,MBA,Google ML,Data Scientist,107075,8,97.9,Hire,3,2,2,3,0.987,1,Hire,83
"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,109019,8,95.4,Hire,3,2,2,2,0.987,1,Hire,83
"Java, React, SQL, C++",1,B.Sc,None,Software Engineer,107509,10,77.8,Hire,2,3,3,0,0.987,1,Hire,83
"Machine Learning, SQL",5,B.Sc,Deep Learning Specialization,Data Scientist,108012,7,100.0,Hire,2,1,2,0,0.987,1,Hire,83
"Machine Learning, Python, Deep Learning, SQL",9,B.Tech,Google ML,Data Scientist,107697,5,90.8,Reject,2,2,2,1,0.987,1,Hire,83
"TensorFlow, Pytorch, NLP, Python",6,B.Tech,AWS Certified,AI Researcher,109750,9,100.0,Hire,2,0,0,1,0.987,1,Hire,83
"Cybersecurity, Ethical Hacking, Linux, Networking",5,B.Tech,AWS Certified,Cybersecurity Analyst,109004,7,100.0,Hire,2,0,1,1,0.987,1,Hire,83
"TensorFlow, Pytorch, Python, NLP",6,PhD,AWS Certified,AI Researcher,109248,8,96.4,Hire,4,0,0,4,0.987,1,Hire,83
"Java, SQL, React, C++",9,B.Sc,Google ML,Software Engineer,108502,9,93.9,Hire,2,2,3,0,0.987,1,Hire,83
"Deep Learning, Machine Learning, SQL, Python",1,PhD,None,Data Scientist,108185,8,70.5,Hire,4,3,2,4,0.987,1,Hire,83
"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,107045,8,91.1,Hire,3,0,2,3,0.987,1,Hire,83
"React, Java, C++",5,B.Tech,Google ML,Software Engineer,115813,0,70.2,Hire,2,2,3,1,0.9863,1,Hire,125
"Linux, Networking, Cybersecurity, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,114989,9,98.4,Hire,3,0,1,3,0.9863,1,Hire,125
"Cybersecurity, Networking, Linux, Ethical Hacking",10,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,114697,9,100.0,Hire,3,1,1,2,0.9863,1,Hire,125
"Deep Learning, Python, SQL, Machine Learning",8,MBA,None,Data Scientist,115812,5,100.0,Hire,3,3,2,3,0.9863,1,Hire,125
"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,None,Cybersecurity Analyst,114988,5,71.9,Hire,3,3,1,2,0.9863,1,Hire,125
"React, SQL, Java",6,B.Tech,Deep Learning Specialization,Software Engineer,115386,4,100.0,Hire,2,1,3,1,0.9863,1,Hire,125
"Pytorch, Python, TensorFlow, NLP",9,B.Sc,AWS Certified,AI Researcher,114772,5,100.0,Hire,2,0,0,0,0.9863,1,Hire,125
"Linux, Cybersecurity",5,M.Tech,None,Cybersecurity Analyst,115234,10,100.0,Hire,3,3,1,2,0.9863,1,Hire,125
"Python, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,114745,6,45.4,Hire,3,1,2,2,0.9863,1,Hire,125
"React, C++",6,B.Tech,Google ML,Software Engineer,114890,7,86.3,Hire,2,2,3,1,0.9863,1,Hire,125
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,115275,5,99.7,Hire,3,0,3,2,0.9863,1,Hire,125
"Java, C++, SQL, React",7,B.Sc,Google ML,Software Engineer,115954,9,100.0,Hire,2,2,3,0,0.9863,1,Hire,125
"TensorFlow, NLP, Python, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,115539,9,98.8,Hire,3,1,0,2,0.9863,1,Hire,125
"Networking, Linux, Ethical Hacking, Cybersecurity",3,M.Tech,AWS Certified,Cybersecurity Analyst,115553,9,100.0,Hire,3,0,1,2,0.9863,1,Hire,125
"SQL, Python",10,PhD,None,Data Scientist,115364,2,100.0,Hire,4,3,2,4,0.9863,1,Hire,125
"Networking, Ethical Hacking, Linux, Cybersecurity",3,PhD,Google ML,Cybersecurity Analyst,115708,9,100.0,Hire,4,2,1,4,0.9863,1,Hire,125
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,114879,8,98.4,Hire,3,2,2,3,0.9863,1,Hire,125
"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,None,Cybersecurity Analyst,116460,10,98.8,Hire,3,3,1,3,0.9863,1,Hire,125
"Linux, Networking",4,M.Tech,None,Cybersecurity Analyst,116278,0,51.9,Hire,3,3,1,2,0.9863,1,Hire,125
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,115051,2,99.9,Hire,3,1,3,2,0.9863,1,Hire,125
"Deep Learning, Machine Learning, Python, SQL",10,PhD,None,Data Scientist,116205,7,100.0,Hire,4,3,2,4,0.9863,1,Hire,125
"Machine Learning, Python, SQL, Deep Learning",6,M.Tech,AWS Certified,Data Scientist,116163,2,97.8,Hire,3,0,2,2,0.9863,1,Hire,125
"SQL, Machine Learning, Deep Learning",9,B.Tech,None,Data Scientist,114686,0,100.0,Hire,2,3,2,1,0.9863,1,Hire,125
"C++, SQL, Java",7,B.Sc,None,Software Engineer,115535,5,98.7,Hire,2,3,3,0,0.9863,1,Hire,125
"NLP, TensorFlow, Pytorch",3,M.Tech,None,AI Researcher,115568,10,92.5,Hire,3,3,0,2,0.9863,1,Hire,125
"Ethical Hacking, Linux",2,M.Tech,None,Cybersecurity Analyst,115687,7,74.4,Hire,3,3,1,2,0.9863,1,Hire,125
"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,57375,2,45.4,Hire,3,2,1,2,0.9837,1,Hire,151
"Machine Learning, Python, Deep Learning, SQL",8,B.Sc,AWS Certified,Data Scientist,57448,0,93.7,Hire,2,0,2,0,0.9837,1,Hire,151
"SQL, Deep Learning, Machine Learning",6,M.Tech,None,Data Scientist,58016,2,87.2,Hire,3,3,2,2,0.9837,1,Hire,151
"TensorFlow, NLP, Python",9,MBA,Google ML,AI Researcher,57419,7,100.0,Hire,3,2,0,3,0.9837,1,Hire,151
"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,57223,2,100.0,Reject,2,2,2,0,0.9837,1,Hire,151
"React, SQL, Java",10,B.Sc,Deep Learning Specialization,Software Engineer,57933,3,96.4,Hire,2,1,3,0,0.9837,1,Hire,151
"SQL, Java, C++, React",5,B.Sc,None,Software Engineer,57546,4,90.5,Hire,2,3,3,0,0.9837,1,Hire,151
"Machine Learning, Python, SQL, Deep Learning",9,M.Tech,None,Data Scientist,74018,10,93.1,Reject,3,3,2,2,0.9833,1,Hire,158
"Python, Deep Learning",5,B.Tech,None,Data Scientist,73559,10,92.2,Hire,2,3,2,1,0.9833,1,Hire,158
"Cybersecurity, Networking, Ethical Hacking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,74090,3,100.0,Hire,2,0,1,1,0.9833,1,Hire,158
"Python, TensorFlow, NLP, Pytorch",5,M.Tech,None,AI Researcher,74282,7,90.0,Hire,3,3,0,2,0.9833,1,Hire,158
"SQL, Machine Learning, Python, Deep Learning",4,B.Sc,Deep Learning Specialization,Data Scientist,73783,3,81.6,Hire,2,1,2,0,0.9833,1,Hire,158
"Networking, Ethical Hacking, Cybersecurity, Linux",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,73181,5,98.7,Hire,3,1,1,3,0.9833,1,Hire,158
"Pytorch, TensorFlow",8,B.Sc,Deep Learning Specialization,AI Researcher,73142,9,100.0,Hire,2,1,0,0,0.9833,1,Hire,158
"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,73914,1,29.7,Hire,4,2,2,4,0.9833,1,Hire,158
"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,73596,9,88.9,Hire,4,1,0,4,0.9833,1,Hire,158
"TensorFlow, Python, NLP",7,B.Sc,Deep Learning Specialization,AI Researcher,74451,9,100.0,Hire,2,1,0,0,0.9833,1,Hire,158
"Linux, Networking, Cybersecurity",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,73851,6,100.0,Hire,3,1,1,3,0.9833,1,Hire,158
"React, Java, SQL, C++",8,B.Sc,AWS Certified,Software Engineer,73325,2,99.4,Hire,2,0,3,0,0.9833,1,Hire,158
"SQL, Java",1,PhD,AWS Certified,Software Engineer,74663,9,75.5,Hire,4,0,3,4,0.9833,1,Hire,158
"Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,73879,2,50.1,Hire,2,2,1,0,0.9833,1,Hire,158
"Cybersecurity, Linux, Ethical Hacking",1,B.Tech,AWS Certified,Cybersecurity Analyst,74376,9,82.9,Hire,2,0,1,1,0.9833,1,Hire,158
"Java, React, C++",10,M.Tech,None,Software Engineer,74425,5,92.3,Hire,3,3,3,2,0.9833,1,Hire,158
"SQL, Java, C++, React",6,B.Sc,Deep Learning Specialization,Software Engineer,73268,8,99.7,Hire,2,1,3,0,0.9833,1,Hire,158
"Pytorch, NLP, Python, TensorFlow",10,M.Tech,AWS Certified,AI Researcher,77860,1,100.0,Hire,3,0,0,2,0.983,1,Hire,175
"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,78344,10,77.7,Hire,3,0,1,3,0.983,1,Hire,175
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,78601,7,93.6,Reject,2,0,2,1,0.983,1,Hire,175
"Java, C++, React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,77427,10,93.2,Hire,4,1,3,4,0.983,1,Hire,175
"SQL, Machine Learning, Python, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,77388,4,100.0,Hire,2,1,2,1,0.983,1,Hire,175
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,None,AI Researcher,78872,4,99.5,Hire,2,3,0,0,0.983,1,Hire,175
"Linux, Cybersecurity",9,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,78574,7,100.0,Hire,2,1,1,0,0.983,1,Hire,175
"Java, C++, React, SQL",8,PhD,Google ML,Software Engineer,77705,0,100.0,Hire,4,2,3,4,0.983,1,Hire,175
"Deep Learning, SQL, Machine Learning",6,PhD,None,Data Scientist,79100,2,90.7,Hire,4,3,2,4,0.983,1,Hire,175
"Machine Learning, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,78218,10,100.0,Hire,3,1,2,2,0.983,1,Hire,175
"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,78090,6,100.0,Hire,2,0,0,1,0.983,1,Hire,175
"Python, Deep Learning, Machine Learning, SQL",3,PhD,Google ML,Data Scientist,77893,10,89.7,Hire,4,2,2,4,0.983,1,Hire,175
"Java, React, SQL, C++",3,PhD,None,Software Engineer,78794,4,60.5,Hire,4,3,3,4,0.983,1,Hire,175
"Pytorch, NLP",0,B.Sc,None,AI Researcher,42924,7,40.8,Hire,2,3,0,0,0.9811,1,Hire,188
"Python, Pytorch",3,PhD,Deep Learning Specialization,AI Researcher,43097,8,74.5,Hire,4,1,0,4,0.9811,1,Hire,188
"SQL, Machine Learning",5,B.Sc,Deep Learning Specialization,Data Scientist,42998,6,94.6,Hire,2,1,2,0,0.9811,1,Hire,188
"Networking, Cybersecurity",7,B.Sc,None,Cybersecurity Analyst,42894,0,86.6,Hire,2,3,1,0,0.9811,1,Hire,188
