Job Role,Role Description,Qualification
Cybersecurity Analyst,"Key Responsibilities: Monitor and analyze security events, incidents, and vulnerabilities to identify potential threats and risks to the organization's IT infrastructure
Respond to security incidents in a timely and effective manner, following the incident response process and procedures
Collect, analyze, and preserve digital evidence related to security incidents
Develop and maintain incident procedures, and playbooks
Develop SIEM searches, alerts, dashboards, and alerts as needed for incident response and security monitoring
Work with the Bank’s Managed Security Services Provider as well as Security and IT partners to investigate suspicious and malicious activity
Participate in tabletop exercises, drills, and simulations to test the organization's incident response plans and procedures
Stay up to date with the latest security technologies, trends, and threats to recommend best practices and solutions to enhance the organization's security posture","Need somebody with Forensics skills but familiarity with Splunk, CrowdStrike, AWS, and even Azure particularly responding to security incidents in AWS and Azure environments
Qualifications: Bachelor's degree in Computer Science, Information Security, or related field
At least three to five years of experience in IT security, with a focus on security operations
Knowledge of security technologies, such as firewalls, intrusion detection and prevention systems, antivirus software, and vulnerability assessment tools
Experience in conducting incident response and investigations particularly in cloud environments such as AWS and Azure
Familiarity with security frameworks, such as NIST, ISO, and CIS
Strong analytical and problem-solving skills
Excellent communication and interpersonal skills
Ability to work independently and as part of a team in a fast-paced, dynamic"
Software Engineer,"Building internal tools, integrations, and customer facing web applications
Retrieving and storing data using SQL server (SQL, SSIS, SSRS)
Troubleshooting and debugging
Support activities related to internal applications and integrations
Cross functional team engagement including on and offsite business partners and vendors
Secure Coding practices
Extracting user data from diverse systems (API, direct extraction, file drops)
Loading data into Delinea and SailPoint
Implementing dynamic scanning solutions, specifically Veracode
Building APIs using Azure services, including familiarity with build and release pipelines
Collaborating with infosec, architecture, and infrastructure teams
Working within Azure DevOps for task management and sprint commitments","python, rest api, unit testing, html, css, javascript, react, azure, app services, azure functions, service bus, apim, application insight, reddis cache, devops, azure devops, test automation, domain driven design, event driven design, terraform IaC, Integration testing, .net, powershell, veracode, static test configurations, q2 sdk development, automated UI testing, sailpoint, delinea
The candidate will need to live in the area, if hired, the expectation is 2-4 days a month on-site in Racine, WI"
Software Engineer," Contribute to all aspects of the agile development life cycle including design, development, documentation, testing and operations.
Actively participate in and execute the scrum process.
Design, implement, test, deploy, and maintain innovative software solutions to transform service performance, durability, cost, and security. Provide frequent progress updates to the direct manager and other stakeholders.
Work in an agile, startup-like development environment, where you are always working on the most meaningful priorities.
Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use.
Ability to design and code the right solutions starting with broadly defined problems.","Bachelor’s degree in Computer Engineering, Computer Science, or similar engineering discipline.
Previous technical internship(s), if applicable.
Programming experience with at least one modern language such as C#, Angular, TypeScript, SQL, some DB familarity, and including object-oriented design.
Experience in optimization mathematics such as linear programming and nonlinear optimization.
Ability to effectively articulate technical challenges and solutions.
Adept at handling ambiguous or undefined problems as well as ability to think abstractly.
Solid knowledge of Computer Science fundamentals (object-oriented design, data structures and algorithm.
Strong verbal and written communication skills, are self-driven, demonstrates initiative, and delivers high quality results in a fast-paced environment.
Highly quantitative with great judgment and passion for building a phenomenal customer experience."
AI Researcher,"Responsibilities: Conduct cutting-edge research in Natural Language Processing, including but not limited to, text generation, understanding, translation, and summarization
Develop and implement novel machine learning models and algorithms for NLP tasks
Collaborate with a team of leading researchers and engineers to design, train, and evaluate large-scale AI models
Stay abreast of the latest advancements in AI and NLP research, contributing original ideas and insights
Publish research findings in top-tier academic conferences and journals
Develop and maintain robust, scalable code for research experiments and prototypes
Translate research breakthroughs into practical applications and contribute to product development roadmaps
Mentor junior researchers and contribute to the growth of the AI research community within the organization
Engage in intellectual property development and patent applications
Effectively communicate complex research concepts to both technical and non-technical audiences","The ideal candidate will possess a Ph.D. or equivalent research experience in Computer Science, Artificial Intelligence, or a related field, with a strong publication record and hands-on experience with deep learning frameworks and large language models"
Data Scientist,"This role is perfect for a scientist who wants to own the entire journey: from taking raw application data to generating clean inputs, to building models and delivering tangible value in real-world applications
You will be a central point of contact, communicating with engineers, product managers, and business analysts to ensure data integrity from collection to analysis
Model Ownership: Participate in the full modeling lifecycle, from statistical analysis and experimentation to building, validating, and iterating on machine learning models that address critical business challenges
Data Quality: Own the data foundation by preparing, cleaning and transforming raw, complex data into high-quality features for modeling
Proactively identify and handle missing values, outliers, and inconsistencies
Problem Investigation: Investigate data discrepancies (tracking bugs, ETL errors, definitional issues) and design automated frameworks to ensure data accuracy
Cross-Functional Collaboration: Act as a strategic liaison, collaborating with data Engineering and product teams to drive the data strategy and definition of our centralized feature store, ensuring it becomes the 'single source of truth' for all ML models
Documentation: Create and maintain clear, authoritative documentation for data sources, cleaning processes, and variable definitions","You are a detective at heart, driven by a deep curiosity to understand complex data systems, and someone who finds immense satisfaction in transforming messy, ambiguous datasets into pristine assets that drive critical business decisions
Obsessed with Details: You have an exceptional eye for detail and a low tolerance for errors
You believe that accuracy and precision are non-negotiable
A Strategic Thinker: You can see the bigger picture and are passionate about building robust systems and processes that will stand the test of time
Proactive & Persistent: You don't wait for problems to find you
You actively seek out data quality issues and are persistent in seeing an investigation through to its resolution
Curious & Adaptive: You are inherently curious and possess a strong desire to understand how things work
You're comfortable with ambiguity and skilled at breaking down complex problems
Programming: Strong proficiency in Python (Pandas/NumPy) and SQL for complex querying and data manipulation
Data Quality: Hands-on experience with data cleaning techniques and data validation frameworks
Tooling: Familiarity with data visualization tools to help identify and communicate data issues"
Cybersecurity Analyst,"The Cybersecurity Analyst will support the company’s security goals by maintaining and monitoring security tools and working closely with the IT professionals
The Cybersecurity Analyst will prepare security reports for IT management and function as a project manager for cybersecurity implementations, upgrades and other initiatives related to cybersecurity
Administer security training
Maintain monthly cybersecurity reporting
Maintain IR tabletop and Risk Register documentation
Monitor threats and remediate alerts
Assist with the utilization of NIST CSF
Assist with patch Tuesday vulnerability remediation and PCI DDSS 4.0 policy control review
Assist with ongoing cybersecurity needs for the company","Bachelor’s Degree with 4+ years of hands-on technical experience
Cybersecurity experience
2 years of Project Management experience
Knowledge of Network Security tools, Azure & AWS Cloud Security enhancements
WHEN RESPONDING TO THIS OPPORTUNITY: Resumes without the required technical skills and experience will not be considered"
Software Engineer,"In this role, you’ll be a full member of our core engineering team, but deployed directly into the environments where our product meets the real world
You’ll build production features, design integrations inside messy customer systems, and shape the internal tooling and platform components that allow us to scale deployments efficiently
If you’re a strong software engineer who wants to work hands-on with users, solve ambiguous problems on the ground, and see your code driving live operations within days, this is a uniquely high-leverage role
Lead technical delivery for customer implementations, integrations, and workflow builds; owning projects from scoping through production rollout
Architect and build workflows that encode real customer processes, integrating directly with their systems and adapting to operational edge cases you uncover in the field
Develop core platform components and integration tooling that standardize common patterns, reduce one-off work, and help the team scale customer deployments efficiently
Navigate complex environments, fragmented data, and real-world constraints, and design solutions that work in practice, not just on paper
Provide field insight to product and engineering, shaping the roadmap with firsthand customer understanding
Travel 20–30% to customer locations and work in-person from our Chicago office","3–6+ years of professional software engineering experience, with clear ownership of complex, production-critical systems
Strong command of TypeScript, Node.js, and REST API design, including debugging and integrating with external systems
Hands-on experience with AI-driven systems, including tuning agent behavior, refining prompts, and shaping workflow logic based on customer feedback
Exceptional communication and judgment, especially when balancing speed, reliability, and real-world constraints
Based in Chicago with willingness to travel 20–30% to customer sites"
Software Engineer,"Rated the top-rated point-of-sale (POS) for restaurants, bars, retail, and small businesses by Capterra users
SpotOn combines payment processing with customer engagement and business management solutions, giving small and medium businesses the data and tools they need to run and grow their business
Design, develop, and maintain high-performance software applications using Golang with a focus on building CRUD APIs ( Rest and gRPC)
Collaborate with cross-functional teams to identify and solve software problems
Implement and manage monitoring and logging systems to provide visibility into the production environment
Write efficient and reusable code that follows industry best practices and standards
Write automated tests to ensure the quality of the software applications
Optimize software performance and ensure scalability and reliability
Participate in code reviews and provide constructive feedback to team members
Identify and justify opportunities to address tech debt as a part of our roadmap","5+ years of experience in software development
Strong scripting skills in languages such as GoLang, Python, or Bash
Professional experience with SQL
Professional experience with MongoDB
Strong knowledge of computer science fundamentals such as data structures, algorithms, and design patterns
Design, build, and maintain highly resilient, flexible, and scalable architecture in collaboration with other Engineers
Experience writing scalable APIs
Ability to work independently and in a team environment
Collaborate with the team to ensure solid technical decision-making and high quality team output
Excellent command of written and spoken English (min
B2 level)
Experience in GoLang
Experience with cloud computing platforms such as AWS, Azure, or Google Cloud.
Experience with serverless computing technologies such as AWS Lambda or Azure Functions
Familiarity with agile software development methodologies, specifically Shape Up
Experience with performance monitoring and optimization (Grafana and OTEL)
Prioritizes understanding the product and how it is used by end users
Experience working in high performing SaaS companies
Experience with TypeScript
Experience with containerization (Docker/Kubernetes) and infrastructure-as-code"
AI Researcher,"Research and develop audio-visual generation models for conversational agents (e.g
Focus on models that are tightly coupled with conversation flow, ensuring verbal and non-verbal signals work seamlessly together
Experiment with diffusion models (DDPMs, LDMs, etc.), long-video generation, and audio generation
Collaborate with the Applied ML team to bring your research into real-world production
Stay ahead of the latest advancements in multimodal generation — and help shape the next wave","A PhD (or near completion) in a relevant field, or equivalent hands-on research experience
Experience applying image/video generation models in practice
Strong foundations in generative modeling and rapid prototyping
Deep familiarity with diffusion models, including recent advances in efficiency
Good understanding of video-language models and multimodal generation
Proficiency in PyTorch and GPU-based inference
Experience with long-video or audio generation
Skills in 3D graphics, Gaussian splatting, or large-scale training setups
Broader exposure to generative models and rendering
Familiarity with software engineering best practices
Publications in top-tier or respected venues (CVPR, NeurIPS, BMVC, ICASSP, etc.)
Remote within U.S. or Europe available for exceptional candidates"
Data Scientist,"You'll have the chance to partner with clients in a variety of BCG regions and industries, and on key topics like climate change, enabling them to design, build, and deploy new and innovative solutions
Additional responsibilities will include developing and delivering thought leadership in scientific communities and papers as well as leading conferences on behalf of BCG X
Successful candidates are intellectually curious builders who are biased toward action, creative, and communicative
This role puts you on an accelerated path of personal and professional growth and development and so, at times, requires extended working hours","Comfortable in a client-facing role with the ambition to lead teams
Likes to distill complex results or processes into simple, clear visualizations
Explain sophisticated data science concepts in an understandable manner
Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience)
Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data
Deep understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our clients
Have strong project management skills
Please note: any degree programs (including part-time) must be completed before starting at BCG"
Cybersecurity Analyst,"As a Cybersecurity Analyst, you will play a critical role in safeguarding our company's sensitive information and systems from potential cyber threats
Conduct regular security assessments and vulnerability testing to identify potential weaknesses in the company's systems and networks
Develop and implement security protocols and procedures to mitigate risks and ensure compliance with industry standards and regulations
Monitor and analyze network traffic and system logs to identify and respond to any suspicious or malicious activity
Investigate and respond to security incidents, including conducting forensic analysis and implementing remediation plans
Stay up-to-date on the latest cybersecurity trends, threats, and best practices to continuously improve the company's security posture
Collaborate with cross-functional teams to ensure security measures are integrated into new systems and applications
Develop and maintain documentation of security processes, procedures, and incident response plans
Conduct security awareness training for employees to promote a security-conscious culture
Work with third-party vendors to evaluate security risks and ensure compliance with security requirements
Participate in security audits and provide support for regulatory compliance efforts","We are looking for an individual with a strong technical background, exceptional problem-solving abilities, and a passion for staying current with the ever-evolving landscape of cybersecurity"
Software Engineer,"What you will do: Understand and assimilate application requirements and designs
Collaborate with other developers and architects to determine optimal solution architecture, efficiency, maintainability, and scalability
Develop applications to CDW coding standards and quality
Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management
Report project/task status to the appropriate Application Development Manager on a weekly basis (at minimum)
Ensure stakeholders are responded to in a timely and professional manner
Foster open lines of communication with all parties","What we expect of you: Bachelor's Degree in Computer Science; OR 4 years of practical knowledge/experience including technical bootcamp training
Excellence verbal and written communication skills, with the ability to effectively interact with all coworkers and stakeholders, including senior leadership
Demonstrated creative problem-solving skills
Understand the stages of the software development life cycle, including Requirements gathering, Design, Development, Testing, and Implementation
Demonstrated resourcefulness in the software development process"
